Invoice ,Date,Due Date,Reference,Combined,Gross,Balance,Status,Source,Invoice Sent,matches
INV-96081,01 Jul 2024,01 Jul 2024,Alaska Common JB:30009,INV-96081Alaska Common JB:30009,31,0,Paid,Receivable Invoice,Sent,
INV-96148,10 Jul 2024,10 Jul 2024,Alaska 10 JB:30105,INV-96148Alaska 10 JB:30105,65.92,0,Paid,Receivable Invoice,Sent,
INV-96121,10 Jul 2024,15 Jul 2024,Alaska 2024 management fees,INV-96121Alaska 2024 management fees,"2,112.82",0,Paid,Receivable Invoice,Sent,
INV-96253,13 Jul 2024,15 Jul 2024,Alaska Common Tradify JB:30183,INV-96253Alaska Common Tradify JB:30183,334.96,0,Paid,Receivable Invoice,Sent,
INV-96201,17 Jul 2024,17 Jul 2024,Alaska 460 JB:30224,INV-96201Alaska 460 JB:30224,62,0,Paid,Receivable Invoice,Sent,
INV-98539,23 Jul 2024,30 Jul 2024,Alaska 440 Tradify JB30287,INV-98539Alaska 440 Tradify JB30287,108.5,0,Paid,Receivable Invoice,Not sent,
INV-96331,26 Jul 2024,26 Jul 2024,Alaska 312 JB:30319,INV-96331Alaska 312 JB:30319,31,0,Paid,Receivable Invoice,Sent,
INV-96388,31 Jul 2024,31 Jul 2024,Alaska Common: Verizon Elevator Phone  07.10.2024 - 08.09.2024,INV-96388Alaska Common: Verizon Elevator Phone  07.10.2024 - 08.09.2024,25.53,0,Paid,Receivable Invoice,Sent,
INV-96448,02 Aug 2024,02 Aug 2024,Alaska Common JB:30274,INV-96448Alaska Common JB:30274,25.84,0,Paid,Receivable Invoice,Sent,
INV-96458,05 Aug 2024,05 Aug 2024,Alaska Common - Janitorial,INV-96458Alaska Common - Janitorial,"3,335.65",0,Paid,Receivable Invoice,Sent,
INV-96496,08 Aug 2024,08 Aug 2024,Alaska: July 2024 management fees,INV-96496Alaska: July 2024 management fees,"2,112.82",0,Paid,Receivable Invoice,Sent,
INV-98538,08 Aug 2024,08 Aug 2024,Alaska 312: Tradify JB30420,INV-98538Alaska 312: Tradify JB30420,124,0,Paid,Receivable Invoice,Not sent,
INV-97536,09 Aug 2024,05 Dec 2024,Alaska Common Tradify JB:28230,INV-97536Alaska Common Tradify JB:28230,"1,482.83",0,Paid,Receivable Invoice,Not sent,
INV-97012,12 Aug 2024,12 Aug 2024,Alaska 312,INV-97012Alaska 312,324.95,0,Paid,Receivable Invoice,Sent,
INV-98537,12 Aug 2024,12 Aug 2024,Alaska 311: Tradify JB30463,INV-98537Alaska 311: Tradify JB30463,31,0,Paid,Receivable Invoice,Not sent,
INV-96675,17 Aug 2024,17 Aug 2024,Alaska Common Tradify JB:30518,INV-96675Alaska Common Tradify JB:30518,46.5,0,Paid,Receivable Invoice,Sent,
INV-96596,22 Aug 2024,26 Aug 2024,Alaska 200 Tradify JB:30578,INV-96596Alaska 200 Tradify JB:30578,170.5,0,Paid,Receivable Invoice,Not sent,
INV-96591,24 Aug 2024,25 Aug 2024,Alaska Common Tradify JB:30585,INV-96591Alaska Common Tradify JB:30585,62,0,Paid,Receivable Invoice,Sent,
INV-96598,28 Aug 2024,28 Aug 2024,Alaska 100B Tradify JB:30610,INV-96598Alaska 100B Tradify JB:30610,36.85,0,Paid,Receivable Invoice,Sent,
INV-96599,28 Aug 2024,28 Aug 2024,Alaska 100L Tradify JB:30606,INV-96599Alaska 100L Tradify JB:30606,38.8,0,Paid,Receivable Invoice,Sent,
INV-96755,28 Aug 2024,28 Aug 2024,Alaska Common,INV-96755Alaska Common,"3,481.80",0,Paid,Receivable Invoice,Sent,
INV-96761,31 Aug 2024,31 Aug 2024,Alaska Common: Verizon Elevator Phone  08.10.2024 - 09.09.2024,INV-96761Alaska Common: Verizon Elevator Phone  08.10.2024 - 09.09.2024,25.53,0,Paid,Receivable Invoice,Sent,
INV-98535,03 Sep 2024,03 Sep 2024,Alaska Common  Tradify JB30626,INV-98535Alaska Common  Tradify JB30626,31,0,Paid,Receivable Invoice,Not sent,
INV-98536,04 Sep 2024,02 Oct 2024,Alaska 400: Tradify JB30625,INV-98536Alaska 400: Tradify JB30625,124,0,Paid,Receivable Invoice,Not sent,
INV-98534,06 Sep 2024,06 Sep 2024,Alaska Common Tradify JB30679,INV-98534Alaska Common Tradify JB30679,144.66,0,Paid,Receivable Invoice,Not sent,
INV-98533,07 Sep 2024,08 Sep 2024,Alaska Common: Tradify JB30720,INV-98533Alaska Common: Tradify JB30720,93,0,Paid,Receivable Invoice,Not sent,
INV-96744,10 Sep 2024,15 Sep 2024,Alaska 2024 management fees,INV-96744Alaska 2024 management fees,"2,112.82",0,Paid,Receivable Invoice,Sent,
INV-98532,12 Sep 2024,12 Sep 2024,Alaska Common: Tradify JB30737,INV-98532Alaska Common: Tradify JB30737,46.5,0,Paid,Receivable Invoice,Not sent,
INV-98531,14 Sep 2024,15 Sep 2024,Alaska Common: Tradify JB30743,INV-98531Alaska Common: Tradify JB30743,93,0,Paid,Receivable Invoice,Not sent,
INV-98530,21 Sep 2024,21 Sep 2024,Alaska Common: Tradify JB30832,INV-98530Alaska Common: Tradify JB30832,62,0,Paid,Receivable Invoice,Not sent,
INV-97116,30 Sep 2024,30 Sep 2024,Alaska Common: Verizon Elevator Phone  09.10.2024 - 10.09.2024,INV-97116Alaska Common: Verizon Elevator Phone  09.10.2024 - 10.09.2024,25.56,0,Paid,Receivable Invoice,Sent,
INV-98529,30 Sep 2024,03 Oct 2024,Alaska 440B: Tradify JB30841,INV-98529Alaska 440B: Tradify JB30841,77.5,0,Paid,Receivable Invoice,Not sent,
INV-96975,01 Oct 2024,01 Oct 2024,Alaska Common,INV-96975Alaska Common,"4,790.00",0,Paid,Receivable Invoice,Sent,
INV-98958,01 Oct 2024,10 Oct 2024,Alaska Center Annual Office Supplies,INV-98958Alaska Center Annual Office Supplies,196.08,0,Paid,Receivable Invoice,Sent,
INV-98528,04 Oct 2024,04 Oct 2024,Alaska Common: Tradify JB30931,INV-98528Alaska Common: Tradify JB30931,31,0,Paid,Receivable Invoice,Not sent,
INV-98527,05 Oct 2024,06 Oct 2024,Alaska Common: Tradify JB30935,INV-98527Alaska Common: Tradify JB30935,124,0,Paid,Receivable Invoice,Not sent,
INV-97121,10 Oct 2024,10 Oct 2024,Alaska Common: Chlorine,INV-97121Alaska Common: Chlorine,92.09,92.09,Draft,Receivable Invoice,Not sent,
INV-97001,10 Oct 2024,15 Oct 2024,Alaska 2024 Sept. management fees,INV-97001Alaska 2024 Sept. management fees,"2,112.82",0,Paid,Receivable Invoice,Sent,
INV-98526,10 Oct 2024,10 Oct 2024,Alaska Common: Tradify JB30969,INV-98526Alaska Common: Tradify JB30969,31,0,Paid,Receivable Invoice,Not sent,
INV-98523,14 Oct 2024,14 Oct 2024,Alaska Common Tradify JB30983,INV-98523Alaska Common Tradify JB30983,62,0,Paid,Receivable Invoice,Not sent,
INV-98525,16 Oct 2024,20 Nov 2024,Alaska Common: Tradify JB30976,INV-98525Alaska Common: Tradify JB30976,"7,393.50",0,Paid,Receivable Invoice,Not sent,
INV-97234,17 Oct 2024,19 Nov 2024,Alaska Common: Repairs (Sonny),INV-97234Alaska Common: Repairs (Sonny),"1,042.71","1,042.71",Draft,Receivable Invoice,Not sent,
INV-97989,18 Oct 2024,18 Oct 2024,Alaska Common (Nationwide Elevator),INV-97989Alaska Common (Nationwide Elevator),"6,222.66",0,Paid,Receivable Invoice,Sent,
INV-98522,24 Oct 2024,24 Oct 2024,Alaska Common: Tradify JB31073,INV-98522Alaska Common: Tradify JB31073,46.5,0,Paid,Receivable Invoice,Not sent,
INV-98492,30 Oct 2024,31 Oct 2024,Alaska Common: Tradify JB31150,INV-98492Alaska Common: Tradify JB31150,93,0,Paid,Receivable Invoice,Not sent,
INV-97593,31 Oct 2024,31 Oct 2024,Alaska Common: Verizon Elevator Phone  10.10.2024 - 11.09.2024,INV-97593Alaska Common: Verizon Elevator Phone  10.10.2024 - 11.09.2024,25.65,0,Paid,Receivable Invoice,Sent,
INV-98490,06 Nov 2024,07 Nov 2024,Alaska Common: Tradify JB31207,INV-98490Alaska Common: Tradify JB31207,93,0,Paid,Receivable Invoice,Not sent,
INV-97602,07 Nov 2024,19 Nov 2024,Alaska Common: Door Locks (Mike/Jasen T.),INV-97602Alaska Common: Door Locks (Mike/Jasen T.),"2,121.03","2,121.03",Draft,Receivable Invoice,Not sent,
INV-98489,09 Nov 2024,10 Nov 2024,Alaska Common: Tradify JB31298,INV-98489Alaska Common: Tradify JB31298,77.5,0,Paid,Receivable Invoice,Not sent,
INV-97260,10 Nov 2024,15 Nov 2024,Alaska 2024 Oct. management fees,INV-97260Alaska 2024 Oct. management fees,"2,112.82",0,Paid,Receivable Invoice,Sent,
INV-98488,13 Nov 2024,13 Nov 2024,Alaska Common: Tradify JB31316,INV-98488Alaska Common: Tradify JB31316,20.66,0,Paid,Receivable Invoice,Not sent,
INV-97684,14 Nov 2024,14 Nov 2024,Alaska Common: Dump Fee,INV-97684Alaska Common: Dump Fee,29.44,29.44,Draft,Receivable Invoice,Not sent,
INV-97392,20 Nov 2024,20 Nov 2024,Alaska Common: (JASEN),INV-97392Alaska Common: (JASEN),63.7,63.7,Draft,Receivable Invoice,Not sent,
INV-97403,20 Nov 2024,20 Nov 2024,Alaska Common: (LIO),INV-97403Alaska Common: (LIO),131.94,131.94,Draft,Receivable Invoice,Not sent,
INV-98486,20 Nov 2024,20 Nov 2024,Alaska Common: Tradify JB31395,INV-98486Alaska Common: Tradify JB31395,124,0,Paid,Receivable Invoice,Not sent,
INV-98485,22 Nov 2024,03 Jan 2025,Alaska Common: Tradify JB31408,INV-98485Alaska Common: Tradify JB31408,852.5,0,Paid,Receivable Invoice,Not sent,
INV-97599,30 Nov 2024,30 Nov 2024,Alaska Common: Verizon Elevator Phone  11.10.2024 - 12.09.2024,INV-97599Alaska Common: Verizon Elevator Phone  11.10.2024 - 12.09.2024,25.65,0,Paid,Receivable Invoice,Sent,
INV-97559,03 Dec 2024,03 Dec 2024,Alaska 104: Rekey,INV-97559Alaska 104: Rekey,46.5,46.5,Draft,Receivable Invoice,Not sent,
INV-98484,03 Dec 2024,03 Dec 2024,Alaska 100: Tradify JB31464,INV-98484Alaska 100: Tradify JB31464,108.5,0,Paid,Receivable Invoice,Not sent,
INV-98483,03 Dec 2024,06 Dec 2024,alaska 104: Tradify JB31471,INV-98483alaska 104: Tradify JB31471,356.5,0,Paid,Receivable Invoice,Not sent,
INV-98482,04 Dec 2024,09 Dec 2024,Alaska Common: Tradify JB31484,INV-98482Alaska Common: Tradify JB31484,976.5,0,Paid,Receivable Invoice,Sent,
INV-98495,05 Dec 2024,05 Dec 2024,Alaska 440: Tradify JB31074,INV-98495Alaska 440: Tradify JB31074,31,0,Paid,Receivable Invoice,Not sent,
INV-97585,06 Dec 2024,10 Dec 2024,Alaska 104: JB31148 (jasen),INV-97585Alaska 104: JB31148 (jasen),638.43,0,Paid,Receivable Invoice,Not sent,"Alaska 104: JB31148, Alaska 104: JB31148"
INV-98569,09 Dec 2024,05 Feb 2025,Alaska Common: Tradify JB31529,INV-98569Alaska Common: Tradify JB31529,465,0,Paid,Receivable Invoice,Not sent,
